t,p1_x1,p1_x2,p1_v1,p1_v2,p2_x1,p2_x2,p2_v1,p2_v2,p3_x1,p3_x2,p3_v1,p3_v2
0,-1,0,0.347113,0.532727,1,0,0.347113,0.532727,0,0,-0.694226,-1.065454
0.016,-0.99443149,0.008309686,0.366868019,0.53252611,1.005264287,0.008309735,0.327864682,0.532538748,-0.010832797,-0.016619422,-0.694732701,-1.065064858
0.032,-0.988551089,0.016612553,0.387135188,0.531897057,1.010231962,0.016613342,0.309115576,0.531998154,-0.021680873,-0.033225895,-0.696250765,-1.063895211
0.048,-0.982350497,0.024902,0.407919631,0.530798485,1.01491098,0.024905992,0.290854706,0.531139708,-0.032560483,-0.049807993,-0.698774337,-1.061938193
0.064,-0.975820988,0.033171157,0.429225038,0.529186592,1.019309279,0.033183776,0.273068923,0.529995547,-0.043488291,-0.066354932,-0.702293961,-1.05918214
0.08,-0.968955724,0.041410078,0.451046033,0.527015854,1.023433357,0.041440887,0.255748965,0.52859598,-0.054477633,-0.082850966,-0.706794999,-1.055611834
0.096,-0.961746051,0.049610467,0.473380045,0.524238208,1.027290781,0.049674357,0.238879437,0.526968892,-0.06554473,-0.099284824,-0.712259482,-1.0512071
0.112,-0.954184027,0.057762468,0.496218795,0.520803767,1.030888467,0.05788084,0.222445841,0.525140239,-0.076704441,-0.115643308,-0.718664635,-1.045944006
0.128,-0.946261091,0.065856209,0.519552152,0.516660465,1.034233407,0.066058164,0.206431497,0.523133829,-0.087972315,-0.131914373,-0.725983649,-1.039794294
0.144,-0.937971208,0.073878673,0.543358716,0.511755977,1.037331401,0.074202167,0.190823774,0.520972197,-0.099360193,-0.148080839,-0.73418249,-1.032728174
0.16,-0.929306383,0.081818337,0.567618791,0.506035687,1.040188976,0.08231137,0.175605009,0.518675536,-0.110882593,-0.164129707,-0.7432238,-1.024711223
0.176,-0.920259747,0.089662046,0.592305053,0.499444618,1.042812071,0.090383816,0.160758784,0.516262539,-0.122552325,-0.180045863,-0.753063836,-1.015707157
0.192,-0.91082398,0.097396522,0.617386761,0.491926807,1.045206588,0.098418593,0.146267091,0.513750056,-0.134382608,-0.195815116,-0.763653851,-1.005676863
0.208,-0.900995057,0.105005408,0.642819706,0.483428865,1.047377489,0.106412737,0.13211593,0.511154155,-0.146382432,-0.211418145,-0.774935636,-0.99458302
0.224,-0.890766927,0.11247373,0.668560279,0.47389636,1.049330173,0.114365826,0.118287046,0.508488754,-0.158563246,-0.226839555,-0.786847326,-0.982385114
0.24,-0.880134157,0.119785631,0.694558097,0.463276311,1.051069693,0.122277633,0.104762287,0.505766401,-0.170935536,-0.242063264,-0.799320384,-0.969042712
0.256,-0.869095592,0.126922172,0.720747424,0.451521933,1.052600308,0.130145624,0.091527776,0.502999236,-0.183504716,-0.257067797,-0.8122752,-0.954521169
0.272,-0.857646404,0.133866789,0.747066544,0.438585348,1.053926722,0.137970839,0.078563925,0.500197019,-0.196280317,-0.271837628,-0.825630469,-0.938782366
0.288,-0.845787035,0.1405996,0.773436745,0.424427952,1.055052826,0.145751531,0.065856163,0.497369418,-0.209265791,-0.286351131,-0.839292909,-0.92179737
0.304,-0.833515464,0.147102294,0.799780576,0.409012778,1.055982645,0.15348856,0.053385975,0.494524149,-0.22246718,-0.300590854,-0.853166551,-0.903536927
0.32,-0.820833708,0.153354516,0.82600779,0.392313131,1.056719676,0.161181113,0.041137912,0.491668576,-0.235885968,-0.314535628,-0.867145702,-0.883981708
0.336,-0.807745332,0.159335616,0.852021972,0.374310972,1.057267223,0.168828493,0.029096613,0.48880912,-0.249521891,-0.328164109,-0.881118585,-0.863120092
0.352,-0.794252396,0.165026079,0.877727211,0.354993511,1.057628456,0.176431852,0.017244116,0.48595065,-0.26337606,-0.341457931,-0.894971327,-0.840944161
0.368,-0.780362628,0.170404527,0.903015149,0.334364244,1.057806154,0.183990078,0.005566294,0.483098067,-0.277443526,-0.354394606,-0.908581444,-0.817462311
0.384,-0.766081214,0.175451375,0.927781879,0.312432134,1.057802931,0.19150445,-0.005954414,0.480254598,-0.291721717,-0.366955825,-0.921827464,-0.792686732
0.4,-0.751418221,0.180146073,0.951915682,0.289223316,1.057621111,0.198974553,-0.017332707,0.477423363,-0.30620289,-0.379120626,-0.934582974,-0.766646679
0.416,-0.736385548,0.184468663,0.975304645,0.264777477,1.057262828,0.206400031,-0.028583151,0.474606755,-0.32087728,-0.390868694,-0.946721494,-0.739384232
0.432,-0.720993334,0.188400864,0.997843571,0.239142247,1.05672989,0.213782258,-0.039722718,0.471805829,-0.335736556,-0.402183122,-0.958120853,-0.710948076
0.448,-0.705258055,0.191924041,1.019423479,0.212386705,1.056024004,0.221120359,-0.050764781,0.469021836,-0.350765949,-0.413044399,-0.968658697,-0.681408541
0.464,-0.689193024,0.195021821,1.039947335,0.184585538,1.055146452,0.22841572,-0.061725945,0.466254533,-0.365953428,-0.423437541,-0.97822139,-0.650840071
0.48,-0.672817939,0.197678152,1.059318832,0.15583492,1.054098529,0.235667486,-0.072619279,0.463503908,-0.381280591,-0.433345638,-0.986699553,-0.619338829
0.496,-0.656148912,0.199879393,1.077456852,0.12623467,1.052881006,0.242877016,-0.083461045,0.460768506,-0.396732094,-0.442756409,-0.993995807,-0.587003176
0.512,-0.639207041,0.201612988,1.094286647,0.095902304,1.051494661,0.250043984,-0.094264844,0.458046914,-0.41228762,-0.451656972,-1.000021803,-0.553949219
0.528,-0.622014551,0.202868402,1.109746337,0.064965184,1.0499401,0.257168042,-0.10504414,0.455337143,-0.427925549,-0.460036444,-1.004702197,-0.520302327
0.544,-0.604590548,0.203637382,1.123791345,0.033551371,1.048217344,0.264250445,-0.115814726,0.452636011,-0.443626796,-0.467887827,-1.00797662,-0.486187382
0.56,-0.586960058,0.203913489,1.136387394,0.001804318,1.046326696,0.271290218,-0.126588947,0.449940598,-0.459366638,-0.475203706,-1.009798447,-0.451744915
0.576,-0.569143118,0.203692633,1.147519758,-0.030138496,1.044267689,0.278288497,-0.137382313,0.447246594,-0.475124571,-0.48198113,-1.010137445,-0.417108098
0.592,-0.551163948,0.202972881,1.157186507,-0.062130824,1.042040067,0.285244732,-0.148207715,0.444549741,-0.490876119,-0.488217613,-1.008978793,-0.382418917
0.608,-0.533046713,0.20175469,1.165401796,-0.094027162,1.039643417,0.292158312,-0.159077897,0.441845208,-0.506596704,-0.493913003,-1.006323899,-0.347818046
0.624,-0.514811053,0.200040432,1.172196753,-0.12569224,1.037076552,0.299030131,-0.170007965,0.439126957,-0.522265499,-0.499070564,-1.002188789,-0.313434718
0.64,-0.496481603,0.197835078,1.177614506,-0.156985949,1.034338843,0.305858877,-0.181009538,0.436389189,-0.53785724,-0.503693955,-0.996604968,-0.279403241
0.656,-0.478076599,0.195145057,1.181713214,-0.187784483,1.031428637,0.312645236,-0.192097454,0.433624656,-0.553352038,-0.507790293,-0.989615761,-0.245840173
0.672,-0.459617504,0.191979234,1.18456151,-0.217964994,1.028344703,0.319388212,-0.203283875,0.430826107,-0.568727199,-0.511367446,-0.981277635,-0.212861114
0.688,-0.441124636,0.188348426,1.186238587,-0.247414213,1.02508566,0.326086699,-0.214580775,0.427985652,-0.583961024,-0.514435125,-0.971657812,-0.180571439
0.704,-0.422612756,0.184264248,1.186832453,-0.276035912,1.021649172,0.332741001,-0.226002562,0.42509407,-0.599036416,-0.517005249,-0.960829892,-0.149058158
0.72,-0.404100869,0.179740984,1.186437471,-0.303735842,1.018033734,0.33934923,-0.237559981,0.422142316,-0.613932864,-0.519090214,-0.948877491,-0.118406474
0.736,-0.385600796,0.174792918,1.185152991,-0.330439526,1.014236565,0.345911377,-0.249267107,0.419119713,-0.628635769,-0.520704295,-0.935885885,-0.088680187
0.752,-0.367127034,0.169436495,1.183081664,-0.35607722,1.01025552,0.352425749,-0.261135151,0.416015493,-0.643128486,-0.521862243,-0.921946513,-0.059938274
0.768,-0.348692457,0.163689257,1.180328007,-0.380590385,1.006088322,0.358890486,-0.273175041,0.412818112,-0.657395865,-0.522579743,-0.907152966,-0.032227728
0.784,-0.330304071,0.15756821,1.176996015,-0.403936482,1.001731546,0.365305027,-0.285400218,0.409514445,-0.671427475,-0.522873237,-0.891595797,-0.005577963
0.8,-0.311972907,0.151092825,1.17318942,-0.426075392,0.997182896,0.371666629,-0.297820111,0.406091484,-0.685209989,-0.522759454,-0.875369309,0.019983908
0.816,-0.293702771,0.14428114,1.16900852,-0.446982926,0.992438535,0.377974291,-0.310447602,0.402534265,-0.698735765,-0.52225543,-0.858560919,0.044448661
0.832,-0.27550014,0.137153037,1.164551142,-0.466637838,0.987495499,0.384225313,-0.323292356,0.398827637,-0.711995359,-0.52137835,-0.841258786,0.067810202
0.848,-0.257369979,0.129728744,1.159911036,-0.485026402,0.982350718,0.390416767,-0.336363553,0.394955483,-0.724980739,-0.520145511,-0.823547482,0.090070919
0.864,-0.239311669,0.122026911,1.155176063,-0.502145232,0.976999781,0.396546879,-0.349672917,0.39089973,-0.737688113,-0.518573789,-0.805503145,0.111245502
0.88,-0.221328794,0.114068559,1.150430191,-0.517990695,0.971439736,0.402611707,-0.36322759,0.386642417,-0.750110942,-0.516680267,-0.7872026,0.131348278
0.896,-0.203418162,0.105872296,1.145750248,-0.53256845,0.965665819,0.408608879,-0.377038227,0.382163154,-0.762247657,-0.514481175,-0.768712021,0.150405296
0.912,-0.185579552,0.09745847,1.14120821,-0.545883794,0.959674409,0.414534309,-0.391111687,0.377441322,-0.774094857,-0.511992779,-0.750096523,0.168442473
0.928,-0.167811654,0.088847375,1.136869902,-0.55794489,0.953461834,0.420383594,-0.405453972,0.372455134,-0.78565018,-0.509230969,-0.73141593,0.185489755
0.944,-0.150108101,0.080057161,1.132793974,-0.568764306,0.947022882,0.426153322,-0.42007351,0.367180366,-0.79691478,-0.506210483,-0.712720463,0.20158394
0.96,-0.132467086,0.071108468,1.129034162,-0.57835207,0.940354188,0.43183792,-0.434973298,0.361593046,-0.807887103,-0.502946387,-0.694060864,0.216759024
0.976,-0.114880603,0.062019032,1.125636846,-0.586721652,0.933450308,0.437433175,-0.450159737,0.355666183,-0.818569706,-0.499452207,-0.675477109,0.23105547
0.992,-0.097345362,0.052809168,1.122643397,-0.593883516,0.926307823,0.442932727,-0.465633356,0.349373173,-0.828962461,-0.495741895,-0.657010041,0.244510343
1.008,-0.0798521,0.04349621,1.120088204,-0.599849758,0.918921125,0.448331476,-0.481397976,0.342684145,-0.839069025,-0.491827686,-0.638690228,0.257165613
1.024,-0.062395088,0.034099441,1.118000443,-0.604629613,0.911286231,0.453622591,-0.497452288,0.335569253,-0.848891143,-0.487722032,-0.620548154,0.269060361
1.04,-0.04496818,0.02463803,1.116403323,-0.608231165,0.903399247,0.458798792,-0.513793134,0.327997388,-0.858431067,-0.483436822,-0.602610188,0.280233776
1.056,-0.027560911,0.015128851,1.115313964,-0.610661486,0.895254502,0.463853477,-0.530419163,0.319934315,-0.867693591,-0.478982328,-0.584894801,0.290727172
1.072,-0.010167928,0.005591597,1.114744227,-0.611924732,0.886848861,0.468777952,-0.547321795,0.311346864,-0.876680933,-0.474369549,-0.567422431,0.300577868
1.088,0.007221595,-0.00395701,1.114700094,-0.612023484,0.878176762,0.473564504,-0.564495188,0.302198046,-0.885398357,-0.469607494,-0.550204906,0.309825437
1.104,0.024614537,-0.013498077,1.115182105,-0.610957785,0.869234717,0.478203718,-0.581926972,0.29245165,-0.893849255,-0.464705641,-0.533255133,0.318506135
1.12,0.042017739,-0.023012695,1.116185045,-0.608725824,0.860019519,0.482685639,-0.599601798,0.282070589,-0.902037258,-0.459672944,-0.516583247,0.326655235
1.136,0.059441919,-0.032484097,1.117698332,-0.605323076,0.850526071,0.487000739,-0.617505216,0.271014469,-0.90996799,-0.454516642,-0.500193115,0.334308607
1.152,0.076892246,-0.041892527,1.119705338,-0.600743859,0.840752439,0.491137532,-0.635613876,0.259245481,-0.917644685,-0.449245006,-0.484091462,0.341498378
1.168,0.094378934,-0.051221006,1.122184248,-0.594979433,0.830694088,0.495085207,-0.653906214,0.246721846,-0.925073022,-0.443864201,-0.468278034,0.348257587
1.184,0.111907796,-0.060450253,1.12510699,-0.5880205,0.820349128,0.498831366,-0.672352494,0.233404287,-0.932256924,-0.438381113,-0.452754496,0.354616214
1.2,0.129484152,-0.069560857,1.128439456,-0.579856894,0.80971623,0.502363049,-0.69091864,0.219253937,-0.939200382,-0.432802192,-0.437520816,0.360602958
1.216,0.147116787,-0.078535321,1.132142325,-0.570475701,0.798792159,0.505667481,-0.709570294,0.204229217,-0.945908946,-0.42713216,-0.42257203,0.366246485
1.232,0.164808424,-0.087353194,1.136169116,-0.559866354,0.787577597,0.508730233,-0.728262599,0.188294062,-0.952386021,-0.421377039,-0.407906517,0.371572293
1.248,0.182566433,-0.095996562,1.140468377,-0.548015435,0.77607053,0.511537263,-0.746951402,0.17140923,-0.958636962,-0.415540701,-0.393516975,0.376606206
1.264,0.200393261,-0.1044453,1.144981538,-0.534912766,0.764272282,0.514073255,-0.76558307,0.153541279,-0.964665543,-0.409627956,-0.379398469,0.381371487
1.28,0.218290375,-0.11267918,1.149643776,-0.520550111,0.752185125,0.516322461,-0.784098693,0.134659918,-0.9704755,-0.40364328,-0.365545084,0.385890192
1.296,0.236262308,-0.120679735,1.154385219,-0.504918219,0.739809477,0.518269167,-0.802438285,0.114734062,-0.976071785,-0.397589432,-0.351946933,0.390184157
1.312,0.254306945,-0.128425921,1.159128576,-0.488015622,0.727150526,0.519896614,-0.820530938,0.093742965,-0.981457472,-0.391470693,-0.338597638,0.394272657
1.328,0.272426036,-0.135898911,1.163792152,-0.469840382,0.71421103,0.521188231,-0.838305785,0.071665373,-0.986637065,-0.38528932,-0.325486367,0.398175009
1.344,0.290616826,-0.143078528,1.168288012,-0.450398465,0.700997132,0.522126888,-0.855683901,0.048489787,-0.991613958,-0.37904836,-0.312604112,0.401908679
1.36,0.308875846,-0.149945037,1.172523495,-0.429701254,0.687515761,0.522695398,-0.872582635,0.024211022,-0.996391607,-0.372750361,-0.29994086,0.405490232
1.376,0.327197157,-0.156478596,1.176401466,-0.407768354,0.673775914,0.522876561,-0.888914637,-0.001166684,-1.000973071,-0.366397965,-0.287486829,0.408935038
1.392,0.345576653,-0.162660902,1.179822009,-0.38462322,0.659785425,0.522653309,-0.904592435,-0.027634897,-1.005362079,-0.359992407,-0.275229574,0.412258117
1.408,0.364005273,-0.168472914,1.182681944,-0.36030213,0.645556066,0.522008784,-0.91952333,-0.055170796,-1.009561338,-0.35353587,-0.263158614,0.415472926
1.424,0.382473457,-0.173896622,1.184876946,-0.334849684,0.631100209,0.520926564,-0.933614546,-0.083742561,-1.013573666,-0.347029943,-0.2512624,0.418592245
1.44,0.400968884,-0.178914495,1.186302533,-0.308322445,0.616432584,0.519390918,-0.9467727,-0.113305379,-1.017401468,-0.340476423,-0.239529833,0.421627824
1.456,0.419481013,-0.183510857,1.18685583,-0.280782881,0.601566647,0.517386579,-0.958908407,-0.143808278,-1.02104766,-0.333875723,-0.227947423,0.424591159
1.472,0.437994315,-0.187670202,1.186436627,-0.252309428,0.586519946,0.514899493,-0.969933002,-0.175182986,-1.024514261,-0.327229291,-0.216503625,0.427492414
1.488,0.456492868,-0.191378635,1.184949482,-0.222990095,0.571310468,0.511916656,-0.979763507,-0.207351106,-1.027803336,-0.320538021,-0.205185974,0.430341201
1.504,0.474958177,-0.194623533,1.182305564,-0.192925702,0.555958393,0.508426607,-0.988323058,-0.240220549,-1.03091657,-0.313803074,-0.193982507,0.433146252
1.52,0.493373815,-0.197394482,1.178423707,-0.162221927,0.540482199,0.504418721,-0.995544674,-0.273694206,-1.033856014,-0.307024239,-0.182879033,0.435916133
1.536,0.511718772,-0.199682239,1.173233091,-0.130999529,0.52490417,0.499884658,-1.001369823,-0.307658711,-1.036622942,-0.300202419,-0.171863268,0.43865824
1.552,0.529972151,-0.201479696,1.166674281,-0.099385855,0.509246469,0.494817689,-1.005752195,-0.341993651,-1.039218621,-0.293337993,-0.160922086,0.441379506
